[2026-04-03T01:01:57.654+0600][1.725s][info][gc,heap     ] GC(2) Eden regions: 60->0(66)
[2026-04-03T01:01:57.654+0600][1.725s][info][gc,heap     ] GC(2) Survivor regions: 2->7(8)
[2026-04-03T01:01:57.654+0600][1.725s][info][gc,heap     ] GC(2) Old regions: 4->4
[2026-04-03T01:01:57.654+0600][1.725s][info][gc,heap     ] GC(2) Humongous regions: 0->0
[2026-04-03T01:01:57.654+0600][1.725s][info][gc,metaspace] GC(2) Metaspace: 8737K(8960K)->8737K(8960K) NonClass: 7893K(8000K)->7893K(8000K) Class: 843K(960K)->843K(960K)
[2026-04-03T01:01:57.654+0600][1.725s][info][gc          ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 128M->19M(248M) 15.903ms
[2026-04-03T01:01:57.654+0600][1.725s][info][gc,cpu      ] GC(2) User=0.10s Sys=0.01s Real=0.02s
[2026-04-03T01:01:57.940+0600][2.011s][info][gc,start    ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T01:01:57.940+0600][2.011s][info][gc,task     ] GC(3) Using 5 workers of 10 for evacuation
[2026-04-03T01:01:57.961+0600][2.032s][info][gc,phases   ] GC(3)   Pre Evacuate Collection Set: 0.33ms
[2026-04-03T01:01:57.961+0600][2.032s][info][gc,phases   ] GC(3)   Merge Heap Roots: 0.17ms
[2026-04-03T01:01:57.961+0600][2.032s][info][gc,phases   ] GC(3)   Evacuate Collection Set: 19.99ms
[2026-04-03T01:01:57.961+0600][2.032s][info][gc,phases   ] GC(3)   Post Evacuate Collection Set: 0.70ms
[2026-04-03T01:01:57.961+0600][2.032s][info][gc,phases   ] GC(3)   Other: 0.16ms
[2026-04-03T01:01:57.961+0600][2.032s][info][gc,heap     ] GC(3) Eden regions: 66->0(63)
[2026-04-03T01:01:57.961+0600][2.032s][info][gc,heap     ] GC(3) Survivor regions: 7->10(10)
[2026-04-03T01:01:57.961+0600][2.032s][info][gc,heap     ] GC(3) Old regions: 4->5
[2026-04-03T01:01:57.961+0600][2.032s][info][gc,heap     ] GC(3) Humongous regions: 0->0
[2026-04-03T01:01:57.961+0600][2.033s][info][gc,metaspace] GC(3) Metaspace: 8770K(9024K)->8770K(9024K) NonClass: 7926K(8064K)->7926K(8064K) Class: 843K(960K)->843K(960K)
