benchmark,duration_ns,uptime_ns,vm_start_unix_ms,vm_start_ns
dec-tree,11662001777,13884314463,1775157998592,8656374821938
dec-tree,2771337241,25679628659,1775157998592,8656374821938
dec-tree,2164345177,28575326650,1775157998592,8656374821938
