benchmark,duration_ns,uptime_ns,vm_start_unix_ms,vm_start_ns
scala-kmeans,427491220,1298359499,1775177748521,3392530328564
scala-kmeans,233196969,1767848847,1775177748521,3392530328564
scala-kmeans,238156863,2037433945,1775177748521,3392530328564
