benchmark,duration_ns,uptime_ns,vm_start_unix_ms,vm_start_ns
philosophers,10656149712,1145160080,1775177720965,3364974328565
philosophers,5661775410,11819062565,1775177720965,3364974328565
philosophers,6699331284,17489994699,1775177720965,3364974328565
