[2026-04-03T06:30:02.281+0600][2.110s][info][gc,heap     ] GC(2) Survivor regions: 2->7(8)
[2026-04-03T06:30:02.281+0600][2.110s][info][gc,heap     ] GC(2) Old regions: 4->4
[2026-04-03T06:30:02.282+0600][2.110s][info][gc,heap     ] GC(2) Humongous regions: 0->0
[2026-04-03T06:30:02.282+0600][2.110s][info][gc,metaspace] GC(2) Metaspace: 8735K(8960K)->8735K(8960K) NonClass: 7891K(8000K)->7891K(8000K) Class: 843K(960K)->843K(960K)
[2026-04-03T06:30:02.282+0600][2.110s][info][gc          ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 132M->20M(248M) 16.185ms
[2026-04-03T06:30:02.282+0600][2.110s][info][gc,cpu      ] GC(2) User=0.09s Sys=0.01s Real=0.01s
[2026-04-03T06:30:02.537+0600][2.366s][info][gc,start    ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T06:30:02.537+0600][2.366s][info][gc,task     ] GC(3) Using 5 workers of 10 for evacuation
[2026-04-03T06:30:02.558+0600][2.387s][info][gc,phases   ] GC(3)   Pre Evacuate Collection Set: 0.13ms
[2026-04-03T06:30:02.558+0600][2.387s][info][gc,phases   ] GC(3)   Merge Heap Roots: 0.07ms
[2026-04-03T06:30:02.558+0600][2.387s][info][gc,phases   ] GC(3)   Evacuate Collection Set: 19.74ms
[2026-04-03T06:30:02.558+0600][2.387s][info][gc,phases   ] GC(3)   Post Evacuate Collection Set: 0.63ms
[2026-04-03T06:30:02.558+0600][2.387s][info][gc,phases   ] GC(3)   Other: 0.13ms
[2026-04-03T06:30:02.558+0600][2.387s][info][gc,heap     ] GC(3) Eden regions: 66->0(67)
[2026-04-03T06:30:02.558+0600][2.387s][info][gc,heap     ] GC(3) Survivor regions: 7->6(10)
[2026-04-03T06:30:02.558+0600][2.387s][info][gc,heap     ] GC(3) Old regions: 4->10
[2026-04-03T06:30:02.558+0600][2.387s][info][gc,heap     ] GC(3) Humongous regions: 0->0
[2026-04-03T06:30:02.558+0600][2.387s][info][gc,metaspace] GC(3) Metaspace: 8766K(9024K)->8766K(9024K) NonClass: 7922K(8064K)->7922K(8064K) Class: 843K(960K)->843K(960K)
[2026-04-03T06:30:02.558+0600][2.387s][info][gc          ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 152M->29M(248M) 21.084ms
[2026-04-03T06:30:02.558+0600][2.387s][info][gc,cpu      ] GC(3) User=0.10s Sys=0.02s Real=0.02s
[2026-04-03T06:30:02.780+0600][2.609s][info][gc,start    ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T06:30:02.781+0600][2.609s][info][gc,task     ] GC(4) Using 5 workers of 10 for evacuation
[2026-04-03T06:30:02.797+0600][2.625s][info][gc,phases   ] GC(4)   Pre Evacuate Collection Set: 0.28ms
[2026-04-03T06:30:02.797+0600][2.625s][info][gc,phases   ] GC(4)   Merge Heap Roots: 0.08ms
[2026-04-03T06:30:02.797+0600][2.625s][info][gc,phases   ] GC(4)   Evacuate Collection Set: 15.19ms
[2026-04-03T06:30:02.797+0600][2.625s][info][gc,phases   ] GC(4)   Post Evacuate Collection Set: 0.55ms
[2026-04-03T06:30:02.797+0600][2.625s][info][gc,phases   ] GC(4)   Other: 0.10ms
[2026-04-03T06:30:02.797+0600][2.625s][info][gc,heap     ] GC(4) Eden regions: 67->0(63)
[2026-04-03T06:30:02.797+0600][2.625s][info][gc,heap     ] GC(4) Survivor regions: 6->10(10)
[2026-04-03T06:30:02.797+0600][2.625s][info][gc,heap     ] GC(4) Old regions: 10->10
[2026-04-03T06:30:02.797+0600][2.625s][info][gc,heap     ] GC(4) Humongous regions: 0->0
[2026-04-03T06:30:02.797+0600][2.625s][info][gc,metaspace] GC(4) Metaspace: 8777K(9024K)->8777K(9024K) NonClass: 7934K(8064K)->7934K(8064K) Class: 843K(960K)->843K(960K)
[2026-04-03T06:30:02.797+0600][2.626s][info][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 163M->38M(248M) 16.584ms
[2026-04-03T06:30:02.797+0600][2.626s][info][gc,cpu      ] GC(4) User=0.09s Sys=0.01s Real=0.02s
[2026-04-03T06:30:02.963+0600][2.792s][info][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T06:30:02.963+0600][2.792s][info][gc,task     ] GC(5) Using 5 workers of 10 for evacuation
[2026-04-03T06:30:02.985+0600][2.813s][info][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 0.23ms
[2026-04-03T06:30:02.985+0600][2.814s][info][gc,phases   ] GC(5)   Merge Heap Roots: 0.08ms
[2026-04-03T06:30:02.985+0600][2.814s][info][gc,phases   ] GC(5)   Evacuate Collection Set: 20.28ms
[2026-04-03T06:30:02.985+0600][2.814s][info][gc,phases   ] GC(5)   Post Evacuate Collection Set: 0.98ms
[2026-04-03T06:30:02.985+0600][2.814s][info][gc,phases   ] GC(5)   Other: 0.09ms
[2026-04-03T06:30:02.985+0600][2.814s][info][gc,heap     ] GC(5) Eden regions: 63->0(99)
[2026-04-03T06:30:02.985+0600][2.814s][info][gc,heap     ] GC(5) Survivor regions: 10->10(10)
[2026-04-03T06:30:02.985+0600][2.814s][info][gc,heap     ] GC(5) Old regions: 10->15
[2026-04-03T06:30:02.985+0600][2.814s][info][gc,heap     ] GC(5) Humongous regions: 0->0
[2026-04-03T06:30:02.985+0600][2.814s][info][gc,metaspace] GC(5) Metaspace: 8779K(9024K)->8779K(9024K) NonClass: 7935K(8064K)->7935K(8064K) Class: 843K(960K)->843K(960K)
[2026-04-03T06:30:02.985+0600][2.814s][info][gc          ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 164M->49M(366M) 21.925ms
[2026-04-03T06:30:02.985+0600][2.814s][info][gc,cpu      ] GC(5) User=0.12s Sys=0.01s Real=0.02s
[2026-04-03T06:30:03.342+0600][3.171s][info][gc,start    ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T06:30:03.343+0600][3.172s][info][gc,task     ] GC(6) Using 8 workers of 10 for evacuation
[2026-04-03T06:30:03.360+0600][3.189s][info][gc,phases   ] GC(6)   Pre Evacuate Collection Set: 0.16ms
[2026-04-03T06:30:03.360+0600][3.189s][info][gc,phases   ] GC(6)   Merge Heap Roots: 0.06ms
[2026-04-03T06:30:03.360+0600][3.189s][info][gc,phases   ] GC(6)   Evacuate Collection Set: 16.02ms
[2026-04-03T06:30:03.360+0600][3.189s][info][gc,phases   ] GC(6)   Post Evacuate Collection Set: 0.54ms
[2026-04-03T06:30:03.360+0600][3.189s][info][gc,phases   ] GC(6)   Other: 0.77ms
[2026-04-03T06:30:03.360+0600][3.189s][info][gc,heap     ] GC(6) Eden regions: 99->0(96)
[2026-04-03T06:30:03.360+0600][3.189s][info][gc,heap     ] GC(6) Survivor regions: 10->13(14)
[2026-04-03T06:30:03.360+0600][3.189s][info][gc,heap     ] GC(6) Old regions: 15->20
[2026-04-03T06:30:03.360+0600][3.189s][info][gc,heap     ] GC(6) Humongous regions: 0->0
[2026-04-03T06:30:03.360+0600][3.189s][info][gc,metaspace] GC(6) Metaspace: 8782K(9024K)->8782K(9024K) NonClass: 7938K(8064K)->7938K(8064K) Class: 843K(960K)->843K(960K)
[2026-04-03T06:30:03.360+0600][3.189s][info][gc          ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 247M->65M(366M) 17.881ms
[2026-04-03T06:30:03.360+0600][3.189s][info][gc,cpu      ] GC(6) User=0.12s Sys=0.02s Real=0.02s
[2026-04-03T06:30:03.632+0600][3.461s][info][gc,start    ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T06:30:03.632+0600][3.461s][info][gc,task     ] GC(7) Using 8 workers of 10 for evacuation
[2026-04-03T06:30:03.655+0600][3.483s][info][gc,phases   ] GC(7)   Pre Evacuate Collection Set: 0.18ms
[2026-04-03T06:30:03.655+0600][3.484s][info][gc,phases   ] GC(7)   Merge Heap Roots: 0.10ms
[2026-04-03T06:30:03.655+0600][3.484s][info][gc,phases   ] GC(7)   Evacuate Collection Set: 21.34ms
[2026-04-03T06:30:03.655+0600][3.484s][info][gc,phases   ] GC(7)   Post Evacuate Collection Set: 0.84ms
[2026-04-03T06:30:03.655+0600][3.484s][info][gc,phases   ] GC(7)   Other: 0.08ms
[2026-04-03T06:30:03.655+0600][3.484s][info][gc,heap     ] GC(7) Eden regions: 96->0(100)
[2026-04-03T06:30:03.655+0600][3.484s][info][gc,heap     ] GC(7) Survivor regions: 13->9(14)
[2026-04-03T06:30:03.655+0600][3.484s][info][gc,heap     ] GC(7) Old regions: 20->33
[2026-04-03T06:30:03.655+0600][3.484s][info][gc,heap     ] GC(7) Humongous regions: 0->0
[2026-04-03T06:30:03.655+0600][3.484s][info][gc,metaspace] GC(7) Metaspace: 8782K(9024K)->8782K(9024K) NonClass: 7938K(8064K)->7938K(8064K) Class: 843K(960K)->843K(960K)
