benchmark,duration_ns,uptime_ns,vm_start_unix_ms,vm_start_ns
movie-lens,28240926089,20879590747,1775158471294,9129076821950
movie-lens,20403689285,49262103783,1775158471294,9129076821950
movie-lens,19911533831,69818912024,1775158471294,9129076821950
