benchmark,duration_ns,uptime_ns,vm_start_unix_ms,vm_start_ns
movie-lens,30425702817,24222822314,1775158954229,9612011821976
movie-lens,24551596739,54866568487,1775158954229,9612011821976
movie-lens,24068690660,79572128985,1775158954229,9612011821976
