benchmark,duration_ns,uptime_ns,vm_start_unix_ms,vm_start_ns
chi-square,5854639034,13520238896,1775157825294,8483076821924
chi-square,1371729234,19500409475,1775157825294,8483076821924
chi-square,1347187353,20970648903,1775157825294,8483076821924
