benchmark,duration_ns,uptime_ns,vm_start_unix_ms,vm_start_ns
chi-square,5631086165,13080445138,1775157782173,8439955821918
chi-square,875953936,18855671628,1775157782173,8439955821918
chi-square,699616278,19828963280,1775157782173,8439955821918
