benchmark,duration_ns,uptime_ns,vm_start_unix_ms,vm_start_ns
page-rank,20576157383,21148474208,1775159354825,10012607821954
page-rank,10224858694,48660915528,1775159354825,10012607821954
page-rank,9426246412,62936992366,1775159354825,10012607821954
